"index";"Company";"TypeName";"Inches";"pixle_width";"pixle_height";"touchscreen";"cpu_speed";"cpu_brand";"cpu_";"Ram";"memmory_type";"primary_storage";"secondary_storage";"gpu_";"Gpu_brand";"OpSys";"Weight";"Price"
133;"Acer";"Notebook";16.0;1920;1080;0;2.7;"Intel";"Core i3";4;"SSD";256;0;" GeForce MX130";"Nvidia";"window";7.2;30476
134;"HP";"Notebook";16.0;1366;768;0;2.7;"Intel";"Core i7";8;"HDD";1024;0;" HD Graphics 620";"Intel";"window";2.1;31861
135;"HP";"Notebook";14.0;1920;1080;0;1.8;"Intel";"Core i7";8;"SSD";256;0;" UHD Graphics 620";"Intel";"window";1.6;52641
136;"Lenovo";"Notebook";16.0;1366;768;0;1.1;"Intel";"Celeron Dual";4;"HDD";1024;0;" HD Graphics 500";"Intel";"N/A";1.9;13446
137;"Asus";"Gaming";17.0;1920;1080;0;2.5;"Intel";"Core i5";8;"Hybrid";128;1024;" GeForce GTX 1050";"Nvidia";"window";3.0;49977
138;"Lenovo";"Notebook";16.0;1920;1080;0;2.5;"Intel";"Core i5";4;"HDD";1024;0;" GeForce 920MX";"Nvidia";"N/A";2.2;26587
139;"HP";"Notebook";13.0;1920;1080;0;2.5;"Intel";"Core i5";4;"SSD";256;0;" HD Graphics 620";"Intel";"window";1.3;37243
140;"Acer";"Notebook";17.0;1920;1080;0;2.7;"Intel";"Core i3";4;"HDD";1024;0;" GeForce MX130";"Nvidia";"window";3.0;34898
141;"Lenovo";"Notebook";14.0;1920;1080;0;1.6;"Intel";"Core i5";8;"SSD";256;0;" Radeon RX 550";"AMD";"window";1.8;59462
142;"Lenovo";"Gaming";16.0;1920;1080;0;2.8;"Intel";"Core i7";8;"SSD";256;0;" GeForce GTX 1050M";"Nvidia";"N/A";2.4;46300
143;"Toshiba";"Notebook";16.0;1366;768;0;2.3;"Intel";"Core i5";4;"HDD";500;0;" HD Graphics 520";"Intel";"window";2.1;32075
144;"HP";"Notebook";16.0;1366;768;0;2.5;"AMD";"A6-Series 9220";4;"SSD";256;0;" Radeon R4 Graphics";"AMD";"window";1.9;19660
145;"Asus";"Ultrabook";14.0;1920;1080;0;1.8;"Intel";"Core i7";8;"SSD";256;0;" UHD Graphics 620";"Intel";"window";1.3;58555
146;"HP";"Ultrabook";13.0;3840;2160;1;1.2;"Intel";"Core M";8;"SSD";512;0;" HD Graphics 515";"Intel";"window";1.0;107306
147;"Asus";"Notebook";16.0;1920;1080;0;1.1;"Intel";"Celeron Dual";4;"HDD";1024;0;" HD Graphics 500";"Intel";"window";2.0;18328
149;"Acer";"Notebook";16.0;1366;768;0;2.0;"Intel";"Core i3";4;"HDD";1024;0;" HD Graphics 520";"Intel";"window";2.1;23816
150;"Dell";"Gaming";16.0;1920;1080;0;2.8;"Intel";"Core i7";16;"SSD";512;0;" GeForce GTX 1050";"Nvidia";"window";2.6;66561
151;"Dell";"Gaming";16.0;1920;1080;0;2.8;"Intel";"Core i7";8;"Hybrid";1024;0;" GeForce GTX 1050";"Nvidia";"window";2.6;47899
152;"Lenovo";"Notebook";16.0;1366;768;0;2.5;"Intel";"Core i5";4;"SSD";128;0;" HD Graphics 620";"Intel";"window";1.9;26533
153;"MSI";"Gaming";17.0;1920;1080;0;2.8;"Intel";"Core i7";16;"Hybrid";256;1024;" GeForce GTX 1060";"Nvidia";"window";2.8;100699
154;"HP";"Ultrabook";14.0;1920;1080;0;2.7;"Intel";"Core i5";4;"SSD";256;0;" HD Graphics 620";"Intel";"window";1.5;57649
155;"HP";"Notebook";16.0;1920;1080;0;1.6;"Intel";"Core i5";6;"SSD";256;0;" Radeon 520";"AMD";"window";1.9;32980
156;"Lenovo";"2 in 1 Convertible";14.0;1920;1080;1;2.4;"Intel";"Core i3";4;"SSD";256;0;" HD Graphics 620";"Intel";"window";1.7;33513
157;"Asus";"2 in 1 Convertible";13.0;1920;1080;1;1.6;"Intel";"Core i5";8;"SSD";256;0;" HD Graphics 620";"Intel";"window";1.1;70063
158;"Dell";"2 in 1 Convertible";16.0;1920;1080;1;1.8;"Intel";"Core i7";8;"SSD";256;0;" UHD Graphics 620";"Intel";"window";1.6;55891
159;"Toshiba";"Notebook";16.0;1366;768;0;2.2;"Intel";"Core i3";4;"HDD";500;0;" HD Graphics 520";"Intel";"window";2.1;23816
160;"Asus";"Notebook";16.0;1366;768;0;3.0;"AMD";"A9-Series 9420";4;"HDD";1024;0;" Radeon R5 M420";"AMD";"window";2.0;21472
161;"Acer";"Notebook";17.0;1920;1080;0;1.6;"Intel";"Core i5";4;"SSD";256;0;" GeForce MX150";"Nvidia";"window";3.0;42890
162;"Dell";"Notebook";16.0;1920;1080;0;1.6;"Intel";"Core i5";8;"SSD";256;0;" Radeon 520";"AMD";"window";2.1;38788
163;"Lenovo";"Gaming";16.0;1920;1080;0;2.8;"Intel";"Core i7";16;"SSD";256;0;" GeForce GTX 1050 Ti";"Nvidia";"window";2.5;57489
164;"Acer";"Notebook";16.0;1366;768;0;1.1;"Intel";"Celeron Dual";4;"HDD";1024;0;" HD Graphics 500";"Intel";"window";2.1;18541
165;"MSI";"Gaming";16.0;1920;1080;0;2.8;"Intel";"Core i7";16;"Hybrid";256;1024;" GeForce GTX 1060";"Nvidia";"window";2.4;95851
166;"Acer";"Notebook";16.0;1366;768;0;1.1;"Intel";"Pentium Quad";4;"HDD";1024;0;" HD Graphics 505";"Intel";"window";2.1;19368
167;"Dell";"Gaming";16.0;1920;1080;0;2.8;"Intel";"Core i7";8;"Hybrid";128;1024;" GeForce GTX 1050";"Nvidia";"window";2.6;56503
168;"Acer";"Notebook";17.0;1920;1080;0;1.6;"Intel";"Core i5";8;"SSD";256;0;" GeForce MX150";"Nvidia";"window";3.0;45501
169;"HP";"Notebook";13.0;1920;1080;0;1.6;"Intel";"Core i5";4;"HDD";500;0;" UHD Graphics 620";"Intel";"window";1.5;40173
170;"Huawei";"Ultrabook";13.0;2160;1440;0;2.5;"Intel";"Core i5";8;"SSD";256;0;" HD Graphics 620";"Intel";"window";1.1;71875
171;"HP";"Notebook";17.0;1920;1080;0;2.5;"Intel";"Core i5";6;"HDD";2048;0;" Radeon 520";"AMD";"window";2.7;37243
172;"Lenovo";"Notebook";16.0;1366;768;0;2.9;"AMD";"A6-Series 9220";4;"HDD";500;0;" Radeon R4 Graphics";"AMD";"N/A";2.2;16464
173;"Toshiba";"Notebook";16.0;1366;768;0;2.4;"Intel";"Core i3";4;"HDD";500;0;" HD Graphics 620";"Intel";"window";5.4;26054
174;"HP";"Notebook";17.0;1920;1080;0;1.6;"Intel";"Core i5";8;"SSD";256;0;" GeForce 930MX";"Nvidia";"window";2.5;49177
175;"Dell";"Notebook";16.0;1366;768;0;2.4;"Intel";"Core i3";8;"HDD";1024;0;" HD Graphics 620";"Intel";"window";2.3;24456
176;"Acer";"Notebook";16.0;1366;768;0;2.0;"Intel";"Core i3";4;"SSD";128;0;" HD Graphics 520";"Intel";"window";2.1;23923
177;"MSI";"Gaming";18.0;1920;1080;0;2.9;"Intel";"Core i7";32;"Hybrid";512;1024;" GTX 980 SLI";"Nvidia";"window";4.4;149131
178;"Lenovo";"Notebook";16.0;1920;1080;0;2.5;"Intel";"Core i5";8;"Hybrid";128;1024;" R17M-M1-70";"AMD";"window";1.9;43317
